ticker,edge,horizon,p10,p25,p50,p75,p90,hit_rate,hit_alpha,hit_self,hit_rate_dc,hit_alpha_dc,hit_self_dc,n_obs,n_episodes,sector,industry,name,beta
HMY,0.06810529419468614,20d,-0.08545568117274968,-0.014561044235587683,0.1031799475857701,0.17892474207049175,0.2520727299748235,0.7333333333333333,0.767,0.667,0.7,0.7,0.7,30,10,Materials,,Harmony Gold Mining Company Limited,0.98
DXCM,0.06400332753044835,20d,-0.15799619200216086,-0.04502449618831231,0.06111037953393439,0.09098860956402799,0.1375081318844171,0.7333333333333333,0.7,0.733,0.7,0.6,0.7,30,10,Healthcare,,"DexCom, Inc.",0.82
KGC,0.06361104235618742,20d,-0.06185499700563035,-0.0009427292137459409,0.11355544336475665,0.14895006381442422,0.19457063264352248,0.7333333333333333,0.8,0.667,0.6,0.7,0.6,30,10,Materials,,Kinross Gold Corporation,0.86
SILJ,0.06327391515125813,20d,-0.049046195252083785,-0.007012624264759376,0.09836163444950385,0.18319945720689051,0.21897352827128372,0.7,0.833,0.6,0.7,0.7,0.5,30,10,Materials,,Amplify Junior Silver Miners ETF,1.24
RKT,0.062084962325957616,20d,-0.14047070396568898,-0.0978806767836985,0.07778739403238988,0.1458949945615397,0.19876767463424275,0.6,0.6,0.6,0.6,0.5,0.6,30,10,Financials,,"Rocket Companies, Inc.",1.21
CRK,0.060835001745403905,20d,-0.082908980718325,0.02026661987955397,0.07178237980358648,0.13991719581767303,0.2610780973619946,0.8,0.8,0.767,0.8,0.8,0.8,30,10,Energy,Oil & Gas E&P,"Comstock Resources, Inc.",0.8
PEN,0.05821320294941945,20d,-0.10497638240934504,-0.053545731174522854,0.05119160560094271,0.07695947546137633,0.1245969138610939,0.6,0.667,0.6,0.6,0.6,0.6,30,10,Healthcare,,"Penumbra, Inc.",0.61
EXEL,0.05762191839215314,20d,-0.01585948733707324,0.014479380600584513,0.08298512604512043,0.1407410493596311,0.16812936484394497,0.8,0.8,0.7,0.7,0.7,0.6,30,10,Healthcare,,"Exelixis, Inc.",0.48
SLVP,0.05760399549176798,20d,-0.029715563232600044,0.011385308576968067,0.09909430174772038,0.21485900521773693,0.29516506767840767,0.8,0.833,0.633,0.7,0.7,0.5,30,10,Materials,,iShares MSCI Global Silver Miners Fund,1.11
AGI,0.05357516015552566,20d,0.023504470105718496,0.041056019488202755,0.09276164687996502,0.13113306170767758,0.16019740642986402,0.9,0.933,0.833,0.8,0.9,0.7,30,10,Materials,Gold,Alamos Gold Inc.,0.73
