ticker,persistence,avg_regime_alpha,resolved_signals,hit_rate
UTHR,8,,,
GDS,8,-0.13521060000000001,5.0,0.0
LRCX,8,,,
MAN,8,,,
LPG,8,,,
METC,8,-0.196159,5.0,0.2
CHRW,8,-0.206074,1.0,0.0
AEO,8,-0.0669482,5.0,0.2
ABVX,8,-0.1406578,5.0,0.0
BBIO,8,-0.1094105,2.0,0.0
BAX,8,0.008847,1.0,1.0
KNSL,8,-0.0671165,2.0,0.0
PEB,8,,,
WBI,7,,,
IDXX,7,,,
JOBY,7,-0.214381,2.0,0.0
HWM,7,-0.0760392,5.0,0.0
HWKN,7,,,
HSY,7,-0.012762,1.0,0.0
KMI,7,,,
YPF,7,,,
HAS,7,0.131846,1.0,1.0
HALO,7,,,
ANAB,7,,,
SII,7,,,
SHAK,7,-0.17306275,4.0,0.25
SATS,7,,,
SAIC,7,0.089438,1.0,1.0
RYAN,7,-0.09109400000000001,2.0,0.0
BSOL,7,0.1984955,2.0,1.0
VIRT,7,,,
HDB,7,,,
CLX,7,,,
ROST,7,,,
RNG,7,,,
MKTX,7,0.3203126,5.0,1.0
MIR,7,-0.07106266666666666,6.0,0.16666666666666666
GGAL,7,-0.1168385,4.0,0.0
GFI,7,,,
MPWR,7,,,
MOD,7,,,
BKD,7,-0.11714399999999998,3.0,0.0
USLM,7,,,
URNM,7,-0.056279666666666665,3.0,0.3333333333333333
AWK,7,,,
MWA,7,,,
LEGN,7,-0.152859,1.0,0.0
SKY,7,-0.01952766666666667,6.0,0.5
SION,7,-0.0020186666666666664,3.0,0.6666666666666666
HLNE,7,0.151093,3.0,1.0
LBRX,7,-0.134049,3.0,0.0
CSTM,7,,,
NEO,7,,,
FLG,7,-0.174208,4.0,0.0
CRSP,7,-0.125476,2.0,0.0
RAMP,7,,,
QNST,7,,,
AVTR,7,0.034074,1.0,1.0
UNF,7,,,
NYT,7,-0.10979699999999999,3.0,0.3333333333333333
BHF,7,-0.21377625,4.0,0.0
PTCT,7,-0.09562828571428571,7.0,0.0
U,7,,,
P,7,,,
DGP,7,,,
DNOW,7,,,
UGI,7,0.048624,1.0,1.0
SNEX,7,,,
IRM,7,,,
IMO,6,0.009197,1.0,1.0
CCC,6,0.1366075,6.0,1.0
OR,6,,,
FENY,6,,,
ONON,6,-0.03753,1.0,0.0
ICLN,6,,,
PWP,6,-0.225703,1.0,0.0
KKR,6,,,
HTHT,6,-0.16095033333333333,3.0,0.0
CAT,6,,,
WH,6,,,
WLFC,6,,,
IDCC,6,-0.035136,3.0,0.3333333333333333
HOG,6,,,
SLAB,6,,,
HST,6,,,
KTOS,6,0.189703,2.0,1.0
IAUM,6,,,
KNX,6,,,
KNF,6,,,
IAU,6,,,
INSW,6,,,
